file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	2-3		
notices.md	NOTICES	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
abstract.md	ABSTRACT	typed	typed	prose	typed	6-7		
contents.md	CONTENTS	typed	typed	generated navigation	typed	7-15		
figures.md	FIGURES	typed	typed	generated list	typed	15-19		
tables.md	TABLES	typed	typed	generated list	typed	19-21		
front_1.md	FRONT_1	best-effort	best-effort		typed-lowering-declined	21-24		prose topic rejected: table envelope 'TBLUNIQ2' declined: table envelope is not closed by SRETBL
preface.md	PREFACE	typed	typed	prose	typed	24-25		
preface-1.md	PREFACE.1	typed	typed	prose	typed	25-29		
preface-2.md	PREFACE.2	typed	typed	prose	typed	29-32		
preface-3.md	PREFACE.3	typed	typed	prose	typed	32-34		
preface-4.md	PREFACE.4	typed	typed	prose	typed	34-35		
1-0.md	1.0	typed	typed	prose	typed	35-43		
2-0.md	2.0	typed	typed	prose	typed	45-46		
2-1.md	2.1	typed	typed	prose	typed	46-47		
2-1-1.md	2.1.1	typed	typed	prose	typed	47-51		
2-1-2.md	2.1.2	typed	typed	prose	typed	51-57		
2-1-3.md	2.1.3	typed	typed	prose	typed	57-59		
2-1-4.md	2.1.4	typed	typed	prose	typed	59-61		
2-2.md	2.2	typed	typed	prose	typed	61-62		
2-2-1.md	2.2.1	typed	typed	prose	typed	62-63		
2-2-2.md	2.2.2	typed	typed	prose	typed	63-64		
2-2-3.md	2.2.3	typed	typed	prose	typed	64-65		
2-3.md	2.3	typed	typed	prose	typed	65-66		
2-3-1.md	2.3.1	typed	typed	prose	typed	66-70		
2-3-2.md	2.3.2	typed	typed	prose	typed	70-71		
2-3-3.md	2.3.3	typed	typed	prose	typed	71-72		
2-3-4.md	2.3.4	typed	typed	prose	typed	72-73		
2-3-5.md	2.3.5	typed	typed	prose	typed	73-74		
2-4.md	2.4	typed	typed	prose	typed	74-75		
2-4-1.md	2.4.1	typed	typed	prose	typed	75-79		
2-4-2.md	2.4.2	typed	typed	prose	typed	79-80		
2-4-3.md	2.4.3	typed	typed	prose	typed	80-82		
2-4-4.md	2.4.4	typed	typed	prose	typed	82-83		
2-5.md	2.5	typed	typed	prose	typed	83-84		
2-6.md	2.6	typed	typed	prose	typed	84-86		
3-0.md	3.0	typed	typed	prose	typed	86-87		
3-1.md	3.1	typed	typed	prose	typed	87-89		
3-1-1.md	3.1.1	typed	typed	prose	typed	89-90		
3-1-2.md	3.1.2	typed	typed	prose	typed	90-91		
3-2.md	3.2	typed	typed	prose	typed	91-92		
3-2-1.md	3.2.1	typed	typed	prose	typed	92-93		
3-2-2.md	3.2.2	typed	typed	prose	typed	117-118		
3-2-3.md	3.2.3	typed	typed	prose	typed	121-122		
3-2-4.md	3.2.4	typed	typed	prose	typed	122-123		
3-2-5.md	3.2.5	typed	typed	prose	typed	130-132		
3-2-6.md	3.2.6	typed	typed	prose	typed	153-154		
3-2-7.md	3.2.7	typed	typed	prose	typed	165-167		
3-2-8.md	3.2.8	typed	typed	prose	typed	167-170		
3-2-9.md	3.2.9	typed	typed	prose	typed	170-172		
3-2-10.md	3.2.10	typed	typed	prose	typed	172-173		
3-2-11.md	3.2.11	typed	typed	prose	typed	175-177		
3-2-12.md	3.2.12	typed	typed	prose	typed	184-187		
3-2-13.md	3.2.13	typed	typed	prose	typed	193-197		
3-2-14.md	3.2.14	typed	typed	prose	typed	200-228		
3-2-15.md	3.2.15	typed	typed	prose	typed	228-229		
3-3.md	3.3	typed	typed	prose	typed	231-236		
3-3-1.md	3.3.1	typed	typed	prose	typed	236-241		
3-3-2.md	3.3.2	typed	typed	prose	typed	241-243		
3-3-3.md	3.3.3	typed	typed	prose	typed	253-256		
3-3-4.md	3.3.4	typed	typed	prose	typed	259-270		
3-3-5.md	3.3.5	typed	typed	prose	typed	270-271		
3-4.md	3.4	typed	typed	prose	typed	271-275		
3-4-1.md	3.4.1	typed	typed	prose	typed	275-278		
3-4-2.md	3.4.2	typed	typed	prose	typed	278-279		
3-5.md	3.5	typed	typed	prose	typed	279-280		
3-5-1.md	3.5.1	typed	typed	prose	typed	280-281		
3-5-2.md	3.5.2	typed	typed	prose	typed	281-283		
3-5-3.md	3.5.3	typed	typed	prose	typed	283-284		
3-6.md	3.6	typed	typed	prose	typed	284-285		
3-6-1.md	3.6.1	typed	typed	prose	typed	285-286		
3-6-2.md	3.6.2	typed	typed	prose	typed	286-298		
3-6-3.md	3.6.3	typed	typed	prose	typed	298-299		
3-6-4.md	3.6.4	typed	typed	prose	typed	299-300		
3-7.md	3.7	typed	typed	prose	typed	300-301		
3-7-1.md	3.7.1	typed	typed	prose	typed	301-302		
3-7-2.md	3.7.2	typed	typed	prose	typed	302-303		
3-8.md	3.8	typed	typed	prose	typed	303-304		
3-8-1.md	3.8.1	typed	typed	prose	typed	304-305		
3-8-2.md	3.8.2	typed	typed	prose	typed	305-306		
3-8-3.md	3.8.3	typed	typed	prose	typed	306-309		
4-0.md	4.0	typed	typed	prose	typed	309-310		
4-1.md	4.1	typed	typed	prose	typed	310-311		
4-1-1.md	4.1.1	typed	typed	prose	typed	311-314		
4-1-2.md	4.1.2	typed	typed	prose	typed	314-315		
4-1-3.md	4.1.3	typed	typed	prose	typed	326-327		
4-1-4.md	4.1.4	typed	typed	prose	typed	331-332		
4-1-5.md	4.1.5	typed	typed	prose	typed	332-333		
4-2.md	4.2	typed	typed	prose	typed	333-334		
4-2-1.md	4.2.1	typed	typed	prose	typed	334-335		
4-2-2.md	4.2.2	typed	typed	prose	typed	335-339		
4-2-3.md	4.2.3	typed	typed	prose	typed	340-342		
4-2-4.md	4.2.4	typed	typed	prose	typed	342-344		
4-2-5.md	4.2.5	typed	typed	prose	typed	344-346		
4-2-6.md	4.2.6	typed	typed	prose	typed	346-347		
4-3.md	4.3	typed	typed	prose	typed	347-348		
4-3-1.md	4.3.1	typed	typed	prose	typed	348-349		
4-3-2.md	4.3.2	typed	typed	prose	typed	349-351		
4-3-3.md	4.3.3	typed	typed	prose	typed	351-352		
4-3-4.md	4.3.4	typed	typed	prose	typed	357-358		
5-0.md	5.0	typed	typed	prose	typed	358-359		
5-1.md	5.1	typed	typed	prose	typed	359-360		
5-1-1.md	5.1.1	typed	typed	prose	typed	360-363		
