file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	3-4		
notices.md	NOTICES	typed	typed	prose	typed	4-5		
edition.md	EDITION	typed	typed	prose	typed	5-7		
contents.md	CONTENTS	typed	typed	generated navigation	typed	7-16		
figures.md	FIGURES	typed	typed	generated list	typed	16-24		
front_1.md	FRONT_1	typed	typed	prose	typed	24-26		
front_1-1.md	FRONT_1.1	typed	typed	prose	typed	26-27		
preface.md	PREFACE	typed	typed	prose	typed	27-28		
preface-1.md	PREFACE.1	typed	typed	prose	typed	28-29		
preface-2.md	PREFACE.2	typed	typed	prose	typed	29-38		
changes.md	CHANGES	typed	typed	prose	typed	38-44		
1-0.md	1.0	typed	typed	prose	typed	44-46		
1-1.md	1.1	typed	typed	prose	typed	46-47		
1-1-1.md	1.1.1	typed	typed	prose	typed	47-49		
1-1-2.md	1.1.2	typed	typed	prose	typed	49-50		
1-2.md	1.2	typed	typed	prose	typed	50-51		
1-2-1.md	1.2.1	typed	typed	prose	typed	51-56		
1-2-2.md	1.2.2	typed	typed	prose	typed	56-58		
1-2-3.md	1.2.3	typed	typed	prose	typed	58-60		
1-2-4.md	1.2.4	typed	typed	prose	typed	60-62		
1-2-5.md	1.2.5	typed	typed	prose	typed	62-63		
1-3.md	1.3	typed	typed	prose	typed	63-68		
1-3-1.md	1.3.1	typed	typed	prose	typed	68-69		
1-4.md	1.4	typed	typed	prose	typed	69-71		
1-4-1.md	1.4.1	typed	typed	prose	typed	71-73		
1-4-2.md	1.4.2	typed	typed	prose	typed	73-74		
1-4-3.md	1.4.3	typed	typed	prose	typed	74-75		
1-5.md	1.5	typed	typed	prose	typed	75-76		
2-0.md	2.0	typed	typed	prose	typed	76-77		
2-1.md	2.1	best-effort	best-effort		typed-lowering-declined	77-84		prose topic rejected: placeholder run '?' is followed by visible text at record 83 token 41
2-2.md	2.2	typed	typed	prose	typed	84-92		
2-3.md	2.3	typed	typed	prose	typed	92-96		
2-4.md	2.4	typed	typed	prose	typed	96-101		
2-4-1.md	2.4.1	typed	typed	prose	typed	101-102		
2-5.md	2.5	typed	typed	prose	typed	102-103		
2-6.md	2.6	typed	typed	prose	typed	103-108		
2-7.md	2.7	typed	typed	prose	typed	108-112		
2-7-1.md	2.7.1	typed	typed	prose	typed	112-113		
