file	id	severity	route	family	reason	records	degraded	detail
title.md	TITLE	typed	typed	prose	typed	2-3		
cover.md	COVER	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
special.md	SPECIAL	typed	typed	prose	typed	6-9		
contents.md	CONTENTS	typed	typed	generated navigation	typed	9-19		
figures.md	FIGURES	typed	typed	generated list	typed	19-21		
tables.md	TABLES	typed	typed	generated list	typed	21-22		
preface.md	PREFACE	typed	typed	prose	typed	22-23		
preface-1.md	PREFACE.1	typed	typed	prose	typed	23-24		
preface-2.md	PREFACE.2	typed	typed	prose	typed	24-27		
preface-3.md	PREFACE.3	typed	typed	prose	typed	27-28		
preface-4.md	PREFACE.4	typed	typed	prose	typed	28-33		
1-0.md	1.0	typed	typed	prose	typed	33-34		
1-1.md	1.1	typed	typed	prose	typed	34-36		
1-2.md	1.2	typed	typed	prose	typed	36-38		
1-2-1.md	1.2.1	typed	typed	prose	typed	38-39		
1-3.md	1.3	typed	typed	prose	typed	39-40		
1-3-1.md	1.3.1	typed	typed	prose	typed	40-41		
1-3-2.md	1.3.2	typed	typed	prose	typed	41-42		
1-3-3.md	1.3.3	typed	typed	prose	typed	42-44		
1-3-4.md	1.3.4	typed	typed	prose	typed	44-46		
1-3-5.md	1.3.5	typed	typed	prose	typed	46-48		
1-3-6.md	1.3.6	typed	typed	prose	typed	48-49		
1-3-7.md	1.3.7	typed	typed	prose	typed	49-50		
2-0.md	2.0	typed	typed	prose	typed	50-52		
2-1.md	2.1	typed	typed	prose	typed	52-53		
2-1-1.md	2.1.1	typed	typed	prose	typed	53-54		
2-1-1-1.md	2.1.1.1	typed	typed	prose	typed	54-60		
2-1-1-2.md	2.1.1.2	typed	typed	prose	typed	60-61		
2-1-2.md	2.1.2	typed	typed	fixed prose	typed	61-62		
2-1-3.md	2.1.3	typed	typed	prose	typed	62-63		
2-1-3-1.md	2.1.3.1	typed	typed	prose	typed	63-65		
2-1-3-2.md	2.1.3.2	typed	typed	prose	typed	65-66		
2-1-4.md	2.1.4	typed	typed	prose	typed	66-70		
2-1-5.md	2.1.5	typed	typed	prose	typed	70-71		
2-1-5-1.md	2.1.5.1	typed	typed	prose	typed	71-72		
2-1-5-2.md	2.1.5.2	typed	typed	prose	typed	72-75		
2-1-5-3.md	2.1.5.3	typed	typed	prose	typed	75-76		
2-2.md	2.2	typed	typed	prose	typed	76-77		
2-2-1.md	2.2.1	typed	typed	prose	typed	77-83		
2-2-2.md	2.2.2	typed	typed	prose	typed	83-84		
2-3.md	2.3	typed	typed	prose	typed	84-85		
2-3-1.md	2.3.1	typed	typed	prose	typed	85-89		
2-3-2.md	2.3.2	typed	typed	prose	typed	89-93		
2-3-3.md	2.3.3	typed	typed	prose	typed	93-94		
2-4.md	2.4	typed	typed	prose	typed	94-96		
