file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	best-effort	best-effort		typed-lowering-declined	2-3		prose topic rejected: cz off cover carries display text
title.md	TITLE	best-effort	best-effort		typed-lowering-declined	3-4		prose topic rejected: cz off tipage carries display text
notices.md	NOTICES	typed	typed	prose	typed	4-5		
edition.md	EDITION	typed	typed	prose	typed	5-6		
preface.md	PREFACE	typed	typed	prose	typed	6-7		
contents.md	CONTENTS	typed	typed	generated navigation	typed	7-11		
figures.md	FIGURES	typed	typed	generated list	typed	11-12		
tables.md	TABLES	typed	typed	generated list	typed	12-13		
1-0.md	1.0	typed	typed	prose	typed	13-14		
1-1.md	1.1	typed	typed	prose	typed	14-18		
1-2.md	1.2	typed	typed	prose	typed	18-25		
1-3.md	1.3	typed	typed	prose	typed	25-30		
2-0.md	2.0	typed	typed	prose	typed	30-31		
2-1.md	2.1	typed	typed	prose	typed	31-33		
2-1-1.md	2.1.1	typed	typed	prose	typed	33-34		
2-1-2.md	2.1.2	typed	typed	prose	typed	34-36		
2-1-3.md	2.1.3	typed	typed	prose	typed	36-42		
2-1-4.md	2.1.4	typed	typed	prose	typed	42-46		
2-2.md	2.2	typed	typed	prose	typed	46-49		
2-2-1.md	2.2.1	typed	typed	prose	typed	49-51		
2-2-2.md	2.2.2	typed	typed	prose	typed	51-52		
2-2-3.md	2.2.3	typed	typed	prose	typed	52-53		
2-3.md	2.3	typed	typed	prose	typed	53-55		
2-4.md	2.4	typed	typed	prose	typed	55-57		
2-4-1.md	2.4.1	typed	typed	prose	typed	57-59		
2-4-2.md	2.4.2	typed	typed	prose	typed	59-63		
2-4-3.md	2.4.3	typed	typed	prose	typed	63-65		
2-4-4.md	2.4.4	typed	typed	prose	typed	65-68		
2-4-5.md	2.4.5	typed	typed	prose	typed	68-71		
2-4-6.md	2.4.6	typed	typed	prose	typed	71-72		
2-5.md	2.5	typed	typed	prose	typed	72-73		
3-0.md	3.0	typed	typed	prose	typed	73-74		
3-1.md	3.1	typed	typed	prose	typed	74-80		
3-2.md	3.2	typed	typed	prose	typed	80-87		
3-2-1.md	3.2.1	typed	typed	prose	typed	87-90		
3-2-2.md	3.2.2	typed	typed	prose	typed	90-96		
3-2-3.md	3.2.3	typed	typed	prose	typed	96-98		
3-3.md	3.3	typed	typed	prose	typed	98-101		
3-3-1.md	3.3.1	typed	typed	prose	typed	101-106		
3-3-2.md	3.3.2	typed	typed	prose	typed	106-110		
3-3-3.md	3.3.3	typed	typed	prose	typed	110-113		
3-4.md	3.4	typed	typed	prose	typed	113-117		
3-5.md	3.5	typed	typed	prose	typed	117-124		
3-6.md	3.6	typed	typed	prose	typed	124-125		
3-6-1.md	3.6.1	typed	typed	prose	typed	125-129		
3-6-2.md	3.6.2	typed	typed	prose	typed	129-140		
3-6-3.md	3.6.3	typed	typed	prose	typed	140-145		
3-7.md	3.7	typed	typed	prose	typed	145-146		
3-7-1.md	3.7.1	typed	typed	prose	typed	146-147		
3-7-2.md	3.7.2	typed	typed	prose	typed	147-150		
3-8.md	3.8	typed	typed	prose	typed	150-151		
3-8-1.md	3.8.1	typed	typed	prose	typed	151-152		
3-8-2.md	3.8.2	typed	typed	prose	typed	152-158		
3-9.md	3.9	typed	typed	prose	typed	158-165		
4-0.md	4.0	typed	typed	prose	typed	165-166		
4-1.md	4.1	typed	typed	prose	typed	166-170		
4-2.md	4.2	typed	typed	prose	typed	170-172		
4-2-1.md	4.2.1	typed	typed	prose	typed	172-173		
4-3.md	4.3	typed	typed	prose	typed	173-190		
4-3-1.md	4.3.1	typed	typed	prose	typed	190-199		
4-4.md	4.4	typed	typed	prose	typed	199-204		
4-4-1.md	4.4.1	typed	typed	prose	typed	204-211		
4-4-2.md	4.4.2	typed	typed	prose	typed	211-217		
4-4-3.md	4.4.3	typed	typed	prose	typed	217-220		
4-5.md	4.5	typed	typed	prose	typed	220-221		
4-5-1.md	4.5.1	typed	typed	prose	typed	221-226		
4-5-2.md	4.5.2	typed	typed	prose	typed	226-228		
4-5-3.md	4.5.3	typed	typed	prose	typed	228-232		
4-5-4.md	4.5.4	typed	typed	prose	typed	232-238		
4-5-5.md	4.5.5	typed	typed	prose	typed	238-241		
4-6.md	4.6	typed	typed	prose	typed	241-248		
5-0.md	5.0	typed	typed	prose	typed	248-250		
5-1.md	5.1	typed	typed	prose	typed	250-251		
5-1-1.md	5.1.1	typed	typed	prose	typed	251-254		
5-1-2.md	5.1.2	typed	typed	prose	typed	254-263		
5-1-2-1.md	5.1.2.1	typed	typed	prose	typed	263-264		
5-1-2-1-1.md	5.1.2.1.1	typed	typed	prose	typed	264-266		
5-1-2-1-2.md	5.1.2.1.2	typed	typed	prose	typed	266-269		
5-1-2-1-3.md	5.1.2.1.3	typed	typed	prose	typed	269-270		
5-1-2-1-4.md	5.1.2.1.4	typed	typed	prose	typed	270-278		
5-1-3.md	5.1.3	typed	typed	prose	typed	278-279		
5-1-3-1.md	5.1.3.1	typed	typed	prose	typed	279-285		
5-1-3-2.md	5.1.3.2	typed	typed	prose	typed	285-287		
5-2.md	5.2	typed	typed	prose	typed	287-289		
5-2-1.md	5.2.1	typed	typed	prose	typed	289-292		
5-2-2.md	5.2.2	typed	typed	prose	typed	292-302		
5-2-3.md	5.2.3	typed	typed	prose	typed	302-303		
5-2-4.md	5.2.4	typed	typed	prose	typed	303-304		
6-0.md	6.0	typed	typed	prose	typed	304-306		
6-1.md	6.1	typed	typed	prose	typed	306-308		
6-2.md	6.2	typed	typed	prose	typed	308-311		
6-2-1.md	6.2.1	typed	typed	prose	typed	311-324		
6-3.md	6.3	typed	typed	prose	typed	324-325		
6-3-1.md	6.3.1	typed	typed	prose	typed	325-328		
6-3-1-1.md	6.3.1.1	typed	typed	prose	typed	328-329		
6-3-1-2.md	6.3.1.2	typed	typed	prose	typed	329-332		
6-3-1-3.md	6.3.1.3	typed	typed	prose	typed	332-334		
6-3-1-4.md	6.3.1.4	typed	typed	prose	typed	334-335		
6-3-1-5.md	6.3.1.5	typed	typed	prose	typed	335-336		
6-3-1-6.md	6.3.1.6	typed	typed	prose	typed	336-337		
6-3-1-7.md	6.3.1.7	typed	typed	prose	typed	337-338		
6-3-1-8.md	6.3.1.8	typed	typed	prose	typed	338-339		
