file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	2-3		
edition.md	EDITION	typed	typed	prose	typed	3-5		
contents.md	CONTENTS	typed	typed	generated navigation	typed	5-6		
1-0.md	1.0	typed	typed	prose	typed	6-7		
1-1.md	1.1	typed	typed	prose	typed	7-9		
2-0.md	2.0	typed	typed	prose	typed	9-10		
2-1.md	2.1	typed	typed	prose	typed	10-109		
2-2.md	2.2	typed	typed	prose	typed	109-135		
2-3.md	2.3	typed	typed	prose	typed	135-150		
a-0.md	A.0	typed	typed	prose	typed	150-242		
# summary	typed=10	total=10
