file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	2-3		
notices.md	NOTICES	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
contents.md	CONTENTS	typed	typed	generated navigation	typed	6-27		
front_1.md	FRONT_1	typed	typed	prose	typed	27-29		
front_2.md	FRONT_2	typed	typed	prose	typed	29-30		
front_2-1.md	FRONT_2.1	typed	typed	prose	typed	30-32		
1-1.md	1.1	typed	typed	prose	typed	33-34		
1-1-1.md	1.1.1	typed	typed	prose	typed	34-36		
1-1-2.md	1.1.2	typed	typed	prose	typed	36-38		
1-1-3.md	1.1.3	typed	typed	prose	typed	38-42		
1-1-4.md	1.1.4	typed	typed	prose	typed	42-44		
1-1-5.md	1.1.5	typed	typed	prose	typed	44-45		
1-1-6.md	1.1.6	typed	typed	prose	typed	45-46		
1-2.md	1.2	typed	typed	prose	typed	46-48		
1-2-1.md	1.2.1	typed	typed	prose	typed	48-50		
1-2-1-1.md	1.2.1.1	typed	typed	prose	typed	50-52		
1-2-2.md	1.2.2	typed	typed	prose	typed	52-54		
1-2-3.md	1.2.3	typed	typed	prose	typed	54-56		
1-2-4.md	1.2.4	typed	typed	prose	typed	56-57		
1-2-4-1.md	1.2.4.1	typed	typed	prose	typed	57-58		
1-2-4-2.md	1.2.4.2	typed	typed	prose	typed	58-59		
1-2-4-3.md	1.2.4.3	typed	typed	prose	typed	59-60		
1-2-5.md	1.2.5	typed	typed	prose	typed	60-61		
1-2-6.md	1.2.6	typed	typed	prose	typed	61-62		
1-2-7.md	1.2.7	typed	typed	prose	typed	62-63		
2-1.md	2.1	best-effort	best-effort		typed-lowering-declined	64-72		prose topic rejected: trailing menu targets rejected: raw menu label differs from canonical catalog title: 2.1.21
2-1-1.md	2.1.1	typed	typed	prose	typed	72-73		
2-1-2.md	2.1.2	typed	typed	prose	typed	73-75		
2-1-3.md	2.1.3	typed	typed	prose	typed	75-77		
2-1-4.md	2.1.4	typed	typed	prose	typed	77-79		
2-1-5.md	2.1.5	typed	typed	prose	typed	79-81		
2-1-6.md	2.1.6	typed	typed	prose	typed	81-82		
2-1-7.md	2.1.7	typed	typed	prose	typed	82-83		
2-1-8.md	2.1.8	typed	typed	prose	typed	83-85		
2-1-9.md	2.1.9	typed	typed	prose	typed	85-87		
2-1-10.md	2.1.10	typed	typed	prose	typed	87-89		
2-1-11.md	2.1.11	typed	typed	prose	typed	89-91		
2-1-12.md	2.1.12	typed	typed	prose	typed	91-92		
2-1-13.md	2.1.13	typed	typed	prose	typed	92-93		
2-1-14.md	2.1.14	typed	typed	prose	typed	93-94		
2-1-15.md	2.1.15	typed	typed	prose	typed	94-95		
2-1-16.md	2.1.16	typed	typed	prose	typed	95-97		
2-1-17.md	2.1.17	typed	typed	prose	typed	97-98		
2-1-18.md	2.1.18	typed	typed	prose	typed	98-99		
2-1-19.md	2.1.19	typed	typed	prose	typed	99-101		
2-1-20.md	2.1.20	typed	typed	prose	typed	101-102		
2-1-21.md	2.1.21	typed	typed	prose	typed	102-104		
2-1-22.md	2.1.22	typed	typed	prose	typed	104-106		
2-1-23.md	2.1.23	typed	typed	prose	typed	106-108		
2-1-24.md	2.1.24	typed	typed	prose	typed	108-109		
2-1-25.md	2.1.25	typed	typed	prose	typed	109-110		
2-1-26.md	2.1.26	typed	typed	prose	typed	110-112		
2-1-27.md	2.1.27	typed	typed	prose	typed	112-113		
2-1-28.md	2.1.28	typed	typed	prose	typed	113-114		
2-1-29.md	2.1.29	typed	typed	prose	typed	114-116		
2-1-30.md	2.1.30	typed	typed	prose	typed	116-118		
2-1-31.md	2.1.31	typed	typed	prose	typed	118-120		
2-1-32.md	2.1.32	typed	typed	prose	typed	120-122		
2-1-33.md	2.1.33	typed	typed	prose	typed	122-124		
2-1-34.md	2.1.34	typed	typed	prose	typed	124-126		
2-1-35.md	2.1.35	typed	typed	prose	typed	126-128		
2-1-36.md	2.1.36	typed	typed	prose	typed	128-130		
2-1-37.md	2.1.37	typed	typed	prose	typed	130-132		
2-1-38.md	2.1.38	typed	typed	prose	typed	132-134		
2-1-39.md	2.1.39	typed	typed	prose	typed	134-136		
2-1-40.md	2.1.40	typed	typed	prose	typed	136-137		
2-1-41.md	2.1.41	typed	typed	prose	typed	137-139		
2-1-42.md	2.1.42	typed	typed	prose	typed	139-140		
2-1-43.md	2.1.43	typed	typed	prose	typed	140-142		
2-1-44.md	2.1.44	typed	typed	prose	typed	142-143		
2-1-45.md	2.1.45	typed	typed	prose	typed	143-144		
2-1-46.md	2.1.46	typed	typed	prose	typed	144-146		
2-1-47.md	2.1.47	typed	typed	prose	typed	146-149		
2-1-48.md	2.1.48	typed	typed	prose	typed	149-151		
2-1-49.md	2.1.49	typed	typed	prose	typed	151-153		
2-1-50.md	2.1.50	typed	typed	prose	typed	153-155		
2-1-51.md	2.1.51	typed	typed	prose	typed	155-156		
2-1-52.md	2.1.52	typed	typed	prose	typed	156-157		
2-1-53.md	2.1.53	typed	typed	prose	typed	157-158		
2-1-54.md	2.1.54	typed	typed	prose	typed	158-159		
2-1-55.md	2.1.55	typed	typed	prose	typed	159-161		
2-1-56.md	2.1.56	typed	typed	prose	typed	161-163		
2-1-57.md	2.1.57	typed	typed	prose	typed	163-165		
2-1-58.md	2.1.58	typed	typed	prose	typed	165-166		
2-1-59.md	2.1.59	typed	typed	prose	typed	166-167		
2-1-60.md	2.1.60	typed	typed	prose	typed	167-168		
2-1-61.md	2.1.61	typed	typed	prose	typed	168-170		
2-1-62.md	2.1.62	typed	typed	prose	typed	170-172		
2-1-63.md	2.1.63	typed	typed	prose	typed	172-173		
2-1-64.md	2.1.64	typed	typed	prose	typed	173-174		
2-1-65.md	2.1.65	typed	typed	prose	typed	174-176		
2-1-66.md	2.1.66	typed	typed	prose	typed	176-177		
2-1-67.md	2.1.67	typed	typed	prose	typed	177-178		
2-1-68.md	2.1.68	typed	typed	prose	typed	178-180		
2-1-69.md	2.1.69	typed	typed	prose	typed	180-182		
2-1-70.md	2.1.70	typed	typed	prose	typed	182-183		
2-1-71.md	2.1.71	typed	typed	prose	typed	183-184		
2-1-72.md	2.1.72	typed	typed	prose	typed	184-185		
2-1-73.md	2.1.73	typed	typed	prose	typed	185-187		
2-1-74.md	2.1.74	typed	typed	prose	typed	187-189		
