file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	2-3		
notices.md	NOTICES	typed	typed	prose	typed	3-4		
edition.md	EDITION	typed	typed	prose	typed	4-6		
contents.md	CONTENTS	typed	typed	generated navigation	typed	6-9		
front_1.md	FRONT_1	typed	typed	prose	typed	9-10		
front_1-1.md	FRONT_1.1	typed	typed	prose	typed	10-11		
preface.md	PREFACE	typed	typed	prose	typed	11-12		
preface-1.md	PREFACE.1	typed	typed	prose	typed	12-13		
preface-2.md	PREFACE.2	typed	typed	prose	typed	13-17		
preface-3.md	PREFACE.3	typed	typed	prose	typed	17-18		
1-0.md	1.0	typed	typed	prose	typed	18-19		
1-1.md	1.1	best-effort	best-effort		typed-lowering-declined	19-21		prose topic rejected: body contains an implicit two-column grid
1-2.md	1.2	best-effort	best-effort		typed-lowering-declined	21-22		prose topic rejected: body contains an implicit two-column grid
1-3.md	1.3	best-effort	best-effort		typed-lowering-declined	22-24		prose topic rejected: body contains an implicit two-column grid
1-4.md	1.4	typed	typed	prose	typed	24-26		
2-0.md	2.0	typed	typed	prose	typed	26-28		
2-1.md	2.1	typed	typed	prose	typed	28-30		
2-1-1.md	2.1.1	typed	typed	prose	typed	30-31		
2-1-2.md	2.1.2	typed	typed	prose	typed	31-32		
2-1-3.md	2.1.3	typed	typed	prose	typed	32-34		
2-1-4.md	2.1.4	typed	typed	prose	typed	34-36		
2-2.md	2.2	typed	typed	prose	typed	36-37		
2-2-1.md	2.2.1	typed	typed	prose	typed	37-38		
2-2-2.md	2.2.2	typed	typed	prose	typed	38-41		
2-2-3.md	2.2.3	typed	typed	prose	typed	41-42		
2-2-4.md	2.2.4	typed	typed	prose	typed	42-43		
2-3.md	2.3	typed	typed	prose	typed	43-44		
2-3-1.md	2.3.1	typed	typed	prose	typed	44-49		
2-3-2.md	2.3.2	typed	typed	prose	typed	57-59		
2-3-3.md	2.3.3	typed	typed	prose	typed	60-62		
2-3-4.md	2.3.4	typed	typed	prose	typed	66-68		
2-3-5.md	2.3.5	typed	typed	prose	typed	68-70		
2-4.md	2.4	typed	typed	prose	typed	70-71		
2-4-1.md	2.4.1	typed	typed	prose	typed	71-72		
2-4-2.md	2.4.2	typed	typed	prose	typed	72-73		
2-4-3.md	2.4.3	typed	typed	prose	typed	73-74		
2-4-4.md	2.4.4	typed	typed	prose	typed	74-76		
2-4-5.md	2.4.5	typed	typed	prose	typed	76-77		
2-4-6.md	2.4.6	typed	typed	prose	typed	77-78		
2-4-7.md	2.4.7	typed	typed	prose	typed	78-79		
2-4-8.md	2.4.8	typed	typed	prose	typed	79-81		
2-4-9.md	2.4.9	typed	typed	prose	typed	81-83		
3-0.md	3.0	typed	typed	prose	typed	83-85		
3-1.md	3.1	typed	typed	prose	typed	85-88		
3-2.md	3.2	typed	typed	prose	typed	88-91		
3-3.md	3.3	typed	typed	prose	typed	91-95		
4-0.md	4.0	typed	typed	prose	typed	95-97		
4-1.md	4.1	typed	typed	prose	typed	97-99		
4-1-1.md	4.1.1	typed	typed	trap catalog	typed	99-101		
4-1-2.md	4.1.2	typed	typed	trap catalog	typed	101-104		
4-1-3.md	4.1.3	typed	typed	trap catalog	typed	104-127		
4-2.md	4.2	typed	typed	prose	typed	127-128		
4-2-1.md	4.2.1	typed	typed	trap catalog	typed	128-130		
4-2-2.md	4.2.2	typed	typed	trap catalog	typed	130-139		
4-3.md	4.3	typed	typed	prose	typed	139-140		
4-3-1.md	4.3.1	typed	typed	trap catalog	typed	140-142		
4-3-2.md	4.3.2	typed	typed	trap catalog	typed	142-144		
4-3-3.md	4.3.3	typed	typed	trap catalog	typed	144-145		
4-3-4.md	4.3.4	typed	typed	trap catalog	typed	145-151		
4-3-5.md	4.3.5	best-effort	best-effort		typed-lowering-declined	151-152		prose topic rejected: body control SRMSG is outside the prose model
4-4.md	4.4	typed	typed	trap catalog	typed	152-172		
5-0.md	5.0	typed-degraded	typed	message catalog	degraded-block	172-435	message-preformatted-fallback	table candidate has an unpositioned source continuation
glossary.md	GLOSSARY	typed	typed	glossary	typed	435-518		
back_1.md	BACK_1	typed	typed	prose	typed	518-519		
back_1-1.md	BACK_1.1	typed	typed	publication catalog	typed	519-521		
back_1-2.md	BACK_1.2	typed	typed	publication catalog	typed	521-522		
back_1-3.md	BACK_1.3	typed	typed	publication catalog	typed	522-524		
back_1-4.md	BACK_1.4	typed	typed	publication catalog	typed	524-525		
back_1-5.md	BACK_1.5	typed	typed	publication catalog	typed	525-526		
back_1-6.md	BACK_1.6	typed	typed	publication catalog	typed	526-528		
back_1-7.md	BACK_1.7	typed	typed	publication catalog	typed	528-529		
back_1-8.md	BACK_1.8	typed	typed	publication catalog	typed	529-530		
back_1-9.md	BACK_1.9	typed	typed	publication catalog	typed	530-531		
back_1-10.md	BACK_1.10	typed	typed	publication catalog	typed	531-532		
back_1-11.md	BACK_1.11	typed	typed	publication catalog	typed	532-533		
back_1-12.md	BACK_1.12	typed	typed	prose	typed	533-535		
back_1-12-1.md	BACK_1.12.1	typed	typed	publication catalog	typed	535-536		
back_1-12-2.md	BACK_1.12.2	typed	typed	publication catalog	typed	536-537		
back_1-12-3.md	BACK_1.12.3	typed	typed	publication catalog	typed	537-538		
index.md	INDEX	typed	typed	generated navigation	typed	538-541		
back_2.md	BACK_2	typed	typed	comment delivery	typed	541-543		
comments.md	COMMENTS	typed	typed	comment delivery	typed	543-547		
# summary	best-effort=4	typed=77	typed-degraded=1	total=82
# degraded-blocks	message-preformatted-fallback=1
