file	id	severity	route	family	reason	records	degraded	detail
cover.md	COVER	typed	typed	prose	typed	2-3		
notices.md	NOTICES	best-effort	best-effort		typed-lowering-declined	3-4		prose topic rejected: cz OFF LBLBOX is not closed by cz OFF ELBLBOX
edition.md	EDITION	typed	typed	prose	typed	4-5		
contents.md	CONTENTS	typed	typed	generated navigation	typed	5-9		
figures.md	FIGURES	typed	typed	generated list	typed	9-17		
preface.md	PREFACE	typed	typed	prose	typed	17-18		
preface-1.md	PREFACE.1	typed	typed	prose	typed	18-19		
preface-2.md	PREFACE.2	typed	typed	prose	typed	19-20		
1-0.md	1.0	typed	typed	prose	typed	20-21		
1-1.md	1.1	typed	typed	prose	typed	21-22		
1-1-1.md	1.1.1	typed	typed	prose	typed	22-25		
1-2.md	1.2	typed	typed	prose	typed	25-27		
1-3.md	1.3	typed	typed	prose	typed	27-28		
1-3-1.md	1.3.1	typed	typed	prose	typed	28-29		
1-3-2.md	1.3.2	typed	typed	prose	typed	34-36		
1-3-3.md	1.3.3	typed	typed	prose	typed	42-44		
2-0.md	2.0	typed	typed	prose	typed	44-45		
2-1.md	2.1	typed	typed	prose	typed	45-47		
2-1-1.md	2.1.1	typed	typed	prose	typed	47-50		
2-1-2.md	2.1.2	typed	typed	prose	typed	50-54		
2-2.md	2.2	typed	typed	prose	typed	54-57		
2-3.md	2.3	typed	typed	prose	typed	57-59		
2-4.md	2.4	typed	typed	prose	typed	59-60		
3-0.md	3.0	typed	typed	prose	typed	60-61		
3-1.md	3.1	typed	typed	prose	typed	61-63		
3-2.md	3.2	typed	typed	prose	typed	63-66		
3-2-1.md	3.2.1	typed	typed	prose	typed	66-69		
3-2-2.md	3.2.2	typed	typed	prose	typed	69-71		
3-2-3.md	3.2.3	typed	typed	prose	typed	71-72		
3-2-4.md	3.2.4	typed	typed	prose	typed	72-74		
3-2-5.md	3.2.5	typed	typed	prose	typed	74-75		
3-2-6.md	3.2.6	typed	typed	prose	typed	75-79		
3-2-7.md	3.2.7	typed	typed	prose	typed	79-83		
3-2-8.md	3.2.8	typed	typed	prose	typed	83-87		
3-2-9.md	3.2.9	typed	typed	prose	typed	87-88		
3-2-10.md	3.2.10	typed	typed	prose	typed	88-90		
3-3.md	3.3	typed	typed	prose	typed	90-91		
3-3-1.md	3.3.1	typed	typed	prose	typed	91-96		
3-3-2.md	3.3.2	typed	typed	prose	typed	96-97		
3-3-3.md	3.3.3	typed	typed	prose	typed	107-109		
3-3-4.md	3.3.4	typed	typed	prose	typed	109-110		
3-3-5.md	3.3.5	typed	typed	prose	typed	125-127		
4-0.md	4.0	typed	typed	prose	typed	127-129		
4-1.md	4.1	typed	typed	prose	typed	129-131		
4-1-1.md	4.1.1	best-effort	best-effort		typed-lowering-declined	131-142		prose topic rejected: figure region declined: figure region contains prose row 'Click on'
4-1-2.md	4.1.2	typed	typed	prose	typed	142-147		
4-2.md	4.2	typed	typed	prose	typed	147-149		
4-2-1.md	4.2.1	best-effort	best-effort		typed-lowering-declined	149-158		prose topic rejected: figure region declined: figure region contains prose row '&diam. Click on'
4-2-2.md	4.2.2	typed	typed	prose	typed	158-160		
4-3.md	4.3	typed	typed	prose	typed	178-180		
4-3-1.md	4.3.1	typed	typed	prose	typed	180-181		
