file	id	severity	route	family	reason	records	degraded	detail
title.md	TITLE	best-effort	best-effort		typed-lowering-declined	2-3		prose topic rejected: cz off tipage carries display text
contents.md	CONTENTS	typed	typed	generated navigation	typed	3-4		
figures.md	FIGURES	typed	typed	generated list	typed	4-5		
1-0.md	1.0	best-effort	best-effort		typed-lowering-declined	5-6		prose topic rejected: figure region declined: figure region contains prose row 'IBM BookManager BookServer is a specialized World Wide Web server that'
1-1.md	1.1	best-effort	best-effort		typed-lowering-declined	6-8		prose topic rejected: cz flow ul carries display text
1-2.md	1.2	typed	typed	prose	typed	8-9		
1-3.md	1.3	typed	typed	prose	typed	9-10		
1-4.md	1.4	best-effort	best-effort		typed-lowering-declined	10-11		prose topic rejected: text segment begins with control-like word 'SREFTN' in record 10
1-4-1.md	1.4.1	typed	typed	prose	typed	11-12		
1-4-2.md	1.4.2	typed	typed	prose	typed	12-13		
1-4-3.md	1.4.3	typed	typed	prose	typed	13-14		
1-4-4.md	1.4.4	typed	typed	prose	typed	14-15		
2-0.md	2.0	typed	typed	prose	typed	15-16		
# summary	best-effort=4	typed=9	total=13
